Date,SARIMA_Forecast,LogLinearRegression_Forecast
2023-12-29,189101787.4930271,221678916.6315894
2023-12-30,187584965.45755583,242054095.38214165
2023-12-31,183743622.02699736,178203399.64583394
2024-01-01,196781410.9949151,218637483.2480696
2024-01-02,187478272.19399625,200084376.65820256
2024-01-03,179221266.95251945,200062862.3756551
2024-01-04,197908634.0214502,221053599.4443016
2024-01-05,196077649.970188,248552320.54046407
2024-01-06,227930374.6473817,271397514.9971958
2024-01-07,190040983.53270033,199806410.04779416
2024-01-08,236935782.47177494,245142184.22095606
2024-01-09,195481636.1815101,224339945.72228786
2024-01-10,214138241.08960482,224315823.33423862
2024-01-11,207864959.974049,247851198.2133602
2024-01-12,232669737.09440348,278683498.5550826
2024-01-13,240964420.17541268,304298140.5739538
2024-01-14,224118172.57121244,224028282.1366574
2024-01-15,251953270.1108903,274859962.6589366
2024-01-16,229262422.55976,251535937.40961084
2024-01-17,228906428.76391602,251508890.74403346
2024-01-18,242580224.65098417,277897381.48113
2024-01-19,249885671.82248986,312467379.8835216
2024-01-20,279961482.3061065,341187200.45662206
2024-01-21,241715302.92675436,251186491.87561187
2024-01-22,291566321.3091997,308180329.3437866
2024-01-23,248196448.34346703,282028809.4549047
2024-01-24,263953356.89799395,281998484.011281
2024-01-25,263501723.39155826,311585964.42994094
2024-01-26,287225851.30927396,350346769.698957
2024-01-27,305027656.06833595,382548199.3790375
